OldPath	NewRawPath	Classification	SHA256	PBSJobID	SourceSnapshotID	Reason
result/main_performance/seven_implementations/legacy_partial/large/gpu_opt_and_gpu_opt_pure_chunked/phase_timing.log	raw_data/main_performance/seven_implementations/legacy_partial/large/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/phase_timing.log	raw	76ee7a6cd85c49bf0b2e5701a7a270fde2fd326771f95dbe31cf532a4b6a1afa	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/large/gpu_opt_and_gpu_opt_pure_chunked/results.tsv	raw_data/main_performance/seven_implementations/legacy_partial/large/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/results.tsv	raw	398a70b35f20ae1fd414945a3130361a6766fe0d1f233304ff6129b5224f1c0b	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/large/max_bc_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/max_bc_no_gpu_opt.tsv	raw	5b469b086fbcc46d1640881f08ce96760736c645b9843bc32831bafb7b37a230	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/large/phase_timing_no_gpu_opt.log	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/phase_timing_no_gpu_opt.log	raw	a45a37a0371aab6433cf957ceca1da134d4f1ca8cb1356b476261cf0aeaaa4e1	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/large/results_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	raw	e4e42bee784c4ea499f17e38f6f48ed0d6a4a3723e2b235c3263e935dae725e9	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/benchmark_no_gpu_opt.log	raw_data/main_performance/seven_implementations/legacy_partial/medium/no_gpu_opt/job_notrecorded_legacy/benchmark_no_gpu_opt.log	raw	ccfdc4967ea3c8a3c495266f890e55c32a618a2b4db78de9d7a3aecd78e5751b	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/benchmark.log	raw_data/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/benchmark.log	raw	dc2efa82cc8af5f74b6e9e3b85f20ef0739069c3a04bba39b8bb18389409f31d	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/max_bc.tsv	raw_data/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/max_bc.tsv	raw	2fd095a2e635c68ff56d8a50f77291013246647ece80546f12ff0700bf203a45	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/phase_timing.log	raw_data/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/phase_timing.log	raw	a6cbc72eb3fec57a4b2365d32aadbc112f39bcefc0a6714fbab4d14e45577a67	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/results.tsv	raw_data/main_performance/seven_implementations/legacy_partial/medium/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/results.tsv	raw	320285a68e8c4f966d41ab56a0d35476892a7e344b905de1e458365cacc295dd	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/max_bc_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/medium/no_gpu_opt/job_notrecorded_legacy/max_bc_no_gpu_opt.tsv	raw	43e9d958afd4be30abe16cb3efaf42f01a01f0b0dd11b29e96f04abac2d7f282	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/phase_timing_no_gpu_opt.log	raw_data/main_performance/seven_implementations/legacy_partial/medium/no_gpu_opt/job_notrecorded_legacy/phase_timing_no_gpu_opt.log	raw	afb078daf582da154d215d9868cb74957b1bcdb3a300ebe09b6247dc9808220c	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/medium/results_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/medium/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	raw	9e40cc99011013afdb03a2799df949adb0f6ab23f67e9b1fb9c34db85c18dc36	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/benchmark_no_gpu_opt.log	raw_data/main_performance/seven_implementations/legacy_partial/small/no_gpu_opt/job_notrecorded_legacy/benchmark_no_gpu_opt.log	raw	1b76cbbaa405c739cd9364153da1dcd1770e2792e3b2064422fb4a2d74b2a742	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/benchmark.log	raw_data/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/benchmark.log	raw	72fe8d27fd1095bb7fa751867362d0669267ab92a3f21e3249f1f4cc6e76cb5d	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/max_bc.tsv	raw_data/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/max_bc.tsv	raw	705c71e8ff1ea6dec581ca496730d12fed03425200540a243a352ae414e801b9	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/phase_timing.log	raw_data/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/phase_timing.log	raw	c2b12d8f5c5611a86d0cfda11c7277ea80d77879e8ef4c733b20d05f300aaf51	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/results.tsv	raw_data/main_performance/seven_implementations/legacy_partial/small/gpu_opt_and_gpu_opt_pure_chunked/job_notrecorded_legacy/results.tsv	raw	82f5f4e282831db3bd7073df23fb6ac408d2a0dbb9d44bd38a8f2e9c6d42758d	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/max_bc_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/small/no_gpu_opt/job_notrecorded_legacy/max_bc_no_gpu_opt.tsv	raw	0726b76088b25c065962cb67e1d5300941347eb5b0e6b3c002306a762390b8f8	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/phase_timing_no_gpu_opt.log	raw_data/main_performance/seven_implementations/legacy_partial/small/no_gpu_opt/job_notrecorded_legacy/phase_timing_no_gpu_opt.log	raw	6534ca029f7ba5d302d97d8d1f717b9506847603e084cc74b2f8d6220bc83d10	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/main_performance/seven_implementations/legacy_partial/small/results_no_gpu_opt.tsv	raw_data/main_performance/seven_implementations/legacy_partial/small/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	raw	a2cb5b57eafdac516ceb003b47247b981fb60350b144118adc803d28c1b18c74	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/oversubscribe_results_gpu_opt.tsv	raw_data/memory_scalability/325557_3216152/gpu_opt/job_notrecorded_20260512/oversubscribe_results_gpu_opt.tsv	raw	aafaef232511b8d76a6cbe124db83ef826c73873bc5780bb85e8066310bf0a7f	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/oversubscribe_results_gpu_opt_pure.tsv	raw_data/memory_scalability/325557_3216152/gpu_opt_pure/job_notrecorded_20260512/oversubscribe_results_gpu_opt_pure.tsv	raw	216e0b4657f2ea9cec61987efb99f03eaa1b0f51948c796fd0baf39b52873f49	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/oversubscribe_results_gpu_opt_pure_chunked.tsv	raw_data/memory_scalability/325557_3216152/gpu_opt_pure_chunked/job_notrecorded_20260512/oversubscribe_results_gpu_opt_pure_chunked.tsv	raw	018f5b1a485663ff41c8d99b07a761d48e5852b519ba84b332dce9a72af0ba1c	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/um_experiment_gpu_opt.log	raw_data/memory_scalability/325557_3216152/gpu_opt/job_notrecorded_20260512/um_experiment_gpu_opt.log	raw	3eb63e738ae102781195d71484d285c4d6273967eab14ababefa8d4469c9e802	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/um_experiment_gpu_opt_pure.log	raw_data/memory_scalability/325557_3216152/gpu_opt_pure/job_notrecorded_20260512/um_experiment_gpu_opt_pure.log	raw	2fca7fe6f82379b0c29071d8965bd8fc43412f9d3440f287db1031661d1b28dd	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
result/memory_scalability/um_experiment_gpu_opt_pure_chunked.log	raw_data/memory_scalability/325557_3216152/gpu_opt_pure_chunked/job_notrecorded_20260512/um_experiment_gpu_opt_pure_chunked.log	raw	381d1a26948113e2bf429eceb18ff017fa8abc67f4582cb1b48b40233ec43fe1	not_recorded	oldtree_f05ec52_20260512	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
